"area_id","item_id","main_type","mid_type","sub_type","price_text","price",
"1","m46654754028","レディース","レッグウェア","スパッツ/レギンス","¥ 500","500",
"1","m26143113057","エンタメ・ホビー","本","趣味/スポーツ/実用","¥ 500","500",
"1","m51805270358","家電・スマホ・カメラ","スマートフォン/携帯電話","スマートフォン本体","¥ 111,111","111111",
"1","m55067880331","ハンドメイド","その他","","¥ 900","900",
"1","m65848547241","コスメ・香水・美容","ボディケア","ボディソープ","¥ 1,500","1500",
"1","m32271053196","コスメ・香水・美容","ベースメーク/化粧品","化粧下地","¥ 99,999","99999",
"1","m49381438383","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 1,500","1500",
"1","m93992252637","レディース","ジャケット/アウター","ロングコート","¥ 105,000","105000",
"1","m89855230225","ベビー・キッズ","おもちゃ","知育玩具","¥ 1,050","1050",
"1","m79261668924","その他","事務/店舗用品","ラッピング/包装","¥ 800","800",
"1","m60243439433","コスメ・香水・美容","ベースメーク/化粧品","コンシーラー","¥ 900","900",
"1","m14207695732","チケット","施設利用券","遊園地/テーマパーク","¥ 300","300",
"1","m26768546490","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 1,300","1300",
"1","m42114251738","レディース","アクセサリー","ブローチ/コサージュ","¥ 500","500",
"1","m60731434228","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 350","350",
"1","m52368425967","レディース","その他","下着","¥ 499","499",
"1","m18715866526","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 1,200","1200",
"1","m26860404929","エンタメ・ホビー","CD","邦楽","¥ 3,000","3000",
"1","m75832519044","その他","まとめ売り","","¥ 5,000","5000",
"1","m37268317115","ベビー・キッズ","キッズ服(女の子用) 100cm~","トップス(Tシャツ/カットソー)","¥ 650","650",
"1","m72248741921","その他","食料品","野菜","¥ 3,300","3300",
"1","m57311873631","レディース","レッグウェア","ストッキング/タイツ","¥ 888","888",
"1","m80089565132","レディース","ワンピース","ひざ丈ワンピース","¥ 777","777",
"1","m37778239307","コスメ・香水・美容","ベースメーク/化粧品","ファンデーション","¥ 333","333",
"1","m39246928227","レディース","トップス","ニット/セーター","¥ 1,222","1222",
"1","m52321807148","メンズ","トップス","Tシャツ/カットソー(七分/長袖)","¥ 1,200","1200",
"1","m59904069336","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","¥ 680","680",
"1","m36356698137","ハンドメイド","アクセサリー(女性用)","ヘアゴム","¥ 1,800","1800",
"1","m76886935359","レディース","アクセサリー","チャーム","¥ 2,000","2000",
"1","m30250760583","自動車・オートバイ","自動車","カーナビ","¥ 5,500","5500",
"1","m63050951666","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 1,250","1250",
"1","m33563174259","エンタメ・ホビー","テレビゲーム","家庭用ゲームソフト","¥ 4,800","4800",
"1","m23710394966","スポーツ・レジャー","その他スポーツ","陸上競技","¥ 800","800",
"1","m93658634746","エンタメ・ホビー","その他","野球/サッカーゲーム","¥ 9,999,999","9999999",
"1","m82342003279","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 350","350",
"1","m83500204601","その他","文房具/事務用品","筆記具","¥ 1,000","1000",
"1","m16063380730","インテリア・住まい・小物","寝具","シーツ/カバー","¥ 2,750","2750",
"1","m84868922108","コスメ・香水・美容","ベースメーク/化粧品","チーク","¥ 1,300","1300",
"1","m17168749242","レディース","ワンピース","ひざ丈ワンピース","¥ 1,800","1800",
"1","m84680993797","レディース","ワンピース","ミニワンピース","¥ 1,999","1999",
"1","m20376500643","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 13,000","13000",
"1","m71829271591","レディース","パンツ","デニム/ジーンズ","¥ 3,980","3980",
"1","m65631966999","エンタメ・ホビー","DVD/ブルーレイ","ミュージック","¥ 1,888","1888",
"1","m34996432870","レディース","ジャケット/アウター","テーラードジャケット","¥ 3,000","3000",
"1","m91131179063","スポーツ・レジャー","その他スポーツ","野球","¥ 3,999","3999",
"1","m90634402966","レディース","トップス","シャツ/ブラウス(七分/長袖)","¥ 650","650",
"1","m10376107548","エンタメ・ホビー","トレーディングカード","ドラゴンボール","¥ 1,388","1388",
"1","m43580430003","レディース","ワンピース","ひざ丈ワンピース","¥ 1,300","1300",
"1","m53306012808","レディース","小物","ハンカチ","¥ 480","480",
"1","m11411506798","インテリア・住まい・小物","キッチン/食器","収納/キッチン雑貨","¥ 1,780","1780",
"1","m82703043406","その他","ペット用品","犬","¥ 555","555",
"1","m13402034426","エンタメ・ホビー","CD","邦楽","¥ 1,800","1800",
"1","m61137816371","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 2,000","2000",
"1","m15772725580","エンタメ・ホビー","おもちゃ/ぬいぐるみ","ミニカー","¥ 6,111","6111",
"1","m77762107683","エンタメ・ホビー","本","その他","¥ 650","650",
"1","m24999400852","メンズ","ジャケット/アウター","ダウンジャケット","¥ 19,999","19999",
"1","m16446541947","エンタメ・ホビー","フィギュア","コミック/アニメ","¥ 1,600","1600",
"1","m78252323952","ハンドメイド","キッズ/ベビー","外出用品","¥ 499","499",
"1","m22332427069","メンズ","小物","イヤマフラー","¥ 800","800",
"1","m89486925329","エンタメ・ホビー","おもちゃ/ぬいぐるみ","ぬいぐるみ","¥ 3,700","3700",
"1","m68838057857","レディース","アクセサリー","ピアス(両耳用)","¥ 400","400",
"1","m56924850793","エンタメ・ホビー","本","健康/医学","¥ 1,800","1800",
"1","m61331120783","エンタメ・ホビー","タレントグッズ","アイドル","¥ 500","500",
"1","m15771046232","エンタメ・ホビー","タレントグッズ","アイドル","¥ 550","550",
"1","m18810338850","スポーツ・レジャー","スノーボード","ウエア/装備(男性用)","¥ 9,800","9800",
"1","m44290708256","ベビー・キッズ","キッズ服(女の子用) 100cm~","パンツ","¥ 2,000","2000",
"1","m90863068890","レディース","小物","モバイルケース/カバー","¥ 5,000","5000",
"1","m55380115256","エンタメ・ホビー","タレントグッズ","アイドル","¥ 4,000","4000",
"1","m58391635830","レディース","パンツ","カジュアルパンツ","¥ 999","999",
"1","m75745566288","エンタメ・ホビー","CD","K-POP/アジア","¥ 444","444",
"1","m80446406686","レディース","靴","スニーカー","¥ 2,900","2900",
"1","m61105809462","コスメ・香水・美容","香水","ボディミスト","¥ 600","600",
"1","m99325277664","その他","食料品","野菜","¥ 2,200","2200",
"1","m66334524304","コスメ・香水・美容","ベースメーク/化粧品","化粧下地","¥ 3,000","3000",
"1","m66209957026","ベビー・キッズ","キッズ服(男の子用) 100cm~","フォーマル/ドレス","¥ 2,999","2999",
"1","m73917608501","コスメ・香水・美容","香水","ユニセックス","¥ 2,100","2100",
"1","m73853923436","ベビー・キッズ","おもちゃ","知育玩具","¥ 3,300","3300",
"1","m51607184558","メンズ","バッグ","リュック/バックパック","¥ 7,000","7000",
"1","m38067692511","メンズ","小物","ネクタイ","¥ 2,750","2750",
