"_type","area_id","item_id","main_type","mid_type","price","price_text","sub_type"
"ItemInfo","1","m31548916933","エンタメ・ホビー","タレントグッズ","2500","¥ 2,500","ミュージシャン"
"ItemInfo","1","m33986614913","メンズ","パンツ","2222","¥ 2,222","デニム/ジーンズ"
"ItemInfo","1","m15671828392","コスメ・香水・美容","ネイルケア","500","¥ 500","ネイルチップ/付け爪"
"ItemInfo","1","m42780834310","エンタメ・ホビー","トレーディングカード","2500","¥ 2,500","その他"
"ItemInfo","1","m36652240747","家電・スマホ・カメラ","カメラ","28500","¥ 28,500","デジタルカメラ"
"ItemInfo","1","m84543701801","エンタメ・ホビー","おもちゃ/ぬいぐるみ","455","¥ 455","模型/プラモデル"
"ItemInfo","1","m79088505026","レディース","トップス","4800","¥ 4,800","ニット/セーター"
"ItemInfo","1","m54902572283","コスメ・香水・美容","ダイエット","4980","¥ 4,980","エクササイズ用品"
"ItemInfo","1","m68785705167","ハンドメイド","その他","2050","¥ 2,050",""
"ItemInfo","1","m68232084144","その他","その他","800","¥ 800",""
"ItemInfo","1","m17432833433","エンタメ・ホビー","雑誌","300","¥ 300","ファッション"
"ItemInfo","1","m84571548507","ベビー・キッズ","子ども用ファッション小物","777","¥ 777","手袋"
"ItemInfo","1","m82441371929","メンズ","トップス","1500","¥ 1,500","パーカー"
"ItemInfo","1","m97342673687","家電・スマホ・カメラ","スマホアクセサリー","1500","¥ 1,500","iPhone用ケース"
"ItemInfo","1","m80738683579","レディース","トップス","6300","¥ 6,300","ニット/セーター"
"ItemInfo","1","m89246109057","インテリア・住まい・小物","キッチン/食器","350","¥ 350","エプロン"
"ItemInfo","1","m79603742647","エンタメ・ホビー","おもちゃ/ぬいぐるみ","7000","¥ 7,000","キャラクターグッズ"
"ItemInfo","1","m99825118670","家電・スマホ・カメラ","スマホアクセサリー","380","¥ 380","iPhone用ケース"
"ItemInfo","1","m23992143005","ベビー・キッズ","子ども用ファッション小物","500","¥ 500","帽子"
"ItemInfo","1","m81428760060","エンタメ・ホビー","おもちゃ/ぬいぐるみ","7500","¥ 7,500","キャラクターグッズ"
"ItemInfo","1","m76769842872","インテリア・住まい・小物","インテリア小物","2880","¥ 2,880","フォトフレーム"
"ItemInfo","1","m75027137356","その他","日用品/生活雑貨/旅行","800","¥ 800","日用品/生活雑貨"
"ItemInfo","1","m61082606742","レディース","トップス","10000","¥ 10,000","ジャージ"
